lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",-1,1,0,0,24,4,1,0.06551830206090434,0.006274746645925575,6502,426,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",1,0,0,0,24,4,2,0.055836563095316295,0.003760765653902841,15223,850,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",1,-1,0,0,24,4,2,0.05442176870748299,0.004656400077831024,9849,536,0.0
"[0, 3, 0, 0]","[2, 2, 0, 0]","[1, 2, -1, 0]","[1, 3, 0, -1]",1,1,0,0,24,4,2,0.054313372740512296,0.004259985623882946,11673,634,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.06017016051223577,0.0045150868907576636,11401,686,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.059962756052141526,0.005397624629956112,8055,483,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.06343651861821445,0.0046775209130189704,11145,707,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.0728849308647762,0.005709540495323878,8534,622,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.08403068340306834,0.010718621822733365,2868,241,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.07249288464758077,0.00478869760711248,11946,866,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",-1,0,0,0,24,4,2,0.05958251150558843,0.004346605157390722,12168,725,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",-1,-1,0,0,24,4,2,0.057248330012891126,0.003586215551539172,17066,977,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",-1,1,0,0,24,4,2,0.05956484274019819,0.004999085146340704,9284,553,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",1,0,0,0,24,4,2,0.04343356463634027,0.004758532319446687,7782,338,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,24,4,2,0.04933730737522988,0.0034914302284039175,15769,778,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",1,1,0,0,24,4,2,0.044485135717363206,0.00306092558637696,18568,826,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,1,0.06237159996712959,0.00443637542002203,12169,759,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,1,0.06814035840755446,0.00529620979639088,9319,635,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,1,0.06297809134793911,0.004229154223867715,13465,848,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,1,0.0666714306131199,0.00425313297951789,13994,933,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",-1,-1,0,0,24,4,1,0.0706002034587996,0.007501824419128333,4915,347,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",-1,1,0,0,24,4,1,0.06844207723035953,0.005934318870652933,7510,514,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.060524946092646296,0.0041570221789454034,13449,814,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.05763202314926453,0.004233356562789489,12441,717,0.0
"[0, 6, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.05969914152949515,0.004255898418101867,12697,758,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.055838963187646494,0.005523277293461713,7253,405,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.053477023180154536,0.0066436988830542165,4918,263,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.05027711797307997,0.004434358623017096,10104,508,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.051348055818994716,0.003678575891406133,14762,758,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.04744407915941468,0.0034588759237327432,15513,736,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.047219456691793484,0.005210040952985891,7031,332,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.06375042387249916,0.004058154272962536,14745,940,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.06355832086319603,0.004376997981549363,12697,807,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.06283292978208233,0.005439164736553759,8260,519,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",1,0,0,0,24,4,2,0.05357142857142857,0.0040145351086674635,12936,693,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",1,-1,0,0,24,4,2,0.05642590708714819,0.0038412834135348184,14745,832,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",1,1,0,0,24,4,2,0.05485446128479929,0.0036635731072181058,15769,865,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.06296581855564122,0.005615465245086618,7782,490,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.060732451678535096,0.004895343543841121,9830,597,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.06347047489516038,0.005279809559444973,8823,560,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,0,0,0,24,4,2,0.03301707779886148,0.0031898364724400885,13175,435,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,24,4,2,0.036553344389165285,0.0031825759334064077,14472,529,0.0
"[0, 6, 0, 0]","[1, 2, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,1,0,0,24,4,2,0.03397000384566081,0.00425491593261032,7801,265,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.08149267612183213,0.0059702655353280065,8602,701,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.08172706245181187,0.009026036874949128,3891,318,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.08008069467590562,0.005124839450211582,11401,913,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,1,0.06470514898391722,0.003912077926290405,16042,1038,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,1,0.06052899287894201,0.0048880273261358645,9830,595,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,1,0.06075403134226664,0.0051834743656080165,8806,535,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",-1,0,0,0,24,4,1,0.051475076297049845,0.006535374396972611,4915,253,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",-1,-1,0,0,24,4,1,0.052578796561604586,0.005486522467926899,6980,367,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",-1,1,0,0,24,4,1,0.05730843528654218,0.006058373406562879,6212,356,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.054649122807017544,0.00432447470078464,11400,623,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.056620553359683794,0.004673472367304504,10120,573,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.05307882554378845,0.0036093403712284255,15769,837,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",-1,0,0,0,24,4,2,0.015303297256481248,0.0018032072955892018,19865,304,0.0
