lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.020858765458309007,0.002140465367346075,18841,393,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.022632150054255153,0.002712015678615492,12902,292,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.019237557359689374,0.002696803356153705,11332,218,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.017643142476697737,0.0029308281806144643,9012,159,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.01666947297524836,0.001986836922417752,17817,297,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.01862409730140631,0.0022291037991036024,15786,294,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.01740786967089273,0.0022026732224695034,15223,265,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.016077991016741528,0.001858466857362004,19592,315,0.0
"[0, 6, 0, 0]","[1, 4, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.016254833846758864,0.002131781189292952,15257,248,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.03192187158370381,0.003074978127792685,13721,438,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.03304864463423691,0.003155169214401142,13465,445,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.03362428842504744,0.0032165827435378797,13175,443,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.021249146239660014,0.0026055028949787153,13177,280,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.021052631578947368,0.002360050801123458,15770,332,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.020148164777191602,0.002168924221791921,17818,359,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,0,0,0,24,4,2,0.03519563700932209,0.0029912768962326516,15769,555,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,-1,0,0,24,4,2,0.03504698728579326,0.0027801290920908134,18090,634,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 2, 0, -1]",0,1,0,0,24,4,2,0.03474424376120226,0.004467005932190168,7253,252,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,0,0,0,24,4,2,0.032177971993246596,0.0025280165849871986,20138,648,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,24,4,2,0.030469940232040315,0.0026862773197765914,17066,520,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",0,1,0,0,24,4,2,0.03304751697034655,0.002812242638270887,16794,555,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,0,0,0,24,4,2,0.02708052894132552,0.002074870270204407,25258,684,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,24,4,2,0.027721211324968797,0.002729542812147139,15223,422,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,1,0,0,24,4,2,0.02736318407960199,0.004017092476871993,7236,198,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.019012253991830673,0.0024476904476824594,13465,256,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.019915254237288134,0.0022447602647177115,16520,329,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.01699285128325325,0.0020506347083759577,17066,290,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.020879755715111,0.0018776114740479653,24234,506,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.01800348454539588,0.0022160643696189086,15497,279,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.018670113456843315,0.0019260674502323306,20889,390,0.0
"[0, 7, 0, 0]","[1, 2, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.04475209272376046,0.003778600601893216,12424,556,0.0
"[0, 7, 0, 0]","[1, 2, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.0454689580823134,0.0033638632399139515,15769,717,0.0
"[0, 7, 0, 0]","[1, 2, 0, 0]","[0, 1, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.04293652129988214,0.0054578996633083895,5939,255,0.0
"[0, 7, 0, 0]","[1, 2, 0, 0]","[0, 4, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.01943127962085308,0.0018570190941850605,23210,451,0.0
"[0, 7, 0, 0]","[1, 2, 0, 0]","[0, 4, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.020636344813306645,0.0024451054266383145,14489,299,0.0
"[0, 7, 0, 0]","[1, 2, 0, 0]","[0, 4, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.020305550183716884,0.0023411908312755483,15513,315,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 5, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.018195869045946327,0.002329340749727401,14234,259,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 5, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.017564996829422953,0.0021709020540573096,15770,277,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 5, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.016410772715831867,0.001862585686611077,19865,326,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 6, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.030680658796093864,0.003019385604863818,13722,421,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 6, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.03588616865453024,0.0039194424120224045,9558,343,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 6, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.030357810746789678,0.0027695211534188233,16042,487,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 6, -1, 0]","[0, 5, 0, -1]",1,0,0,0,27,6,2,0.04383454004602346,0.0031057885941215,17817,781,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 6, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,27,6,2,0.04608871355720196,0.004201685710415043,10393,479,0.0
"[0, 7, 0, 0]","[1, 3, 0, 0]","[0, 6, -1, 0]","[0, 5, 0, -1]",1,1,0,0,27,6,2,0.04375060229353377,0.004107215712841429,10377,454,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.048005542908047115,0.004343184036278307,10103,485,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.046762589928057555,0.004918085190297197,7784,364,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.047664164419502955,0.003693314851922397,13721,654,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 3, 0, -1]",-1,0,0,0,27,6,2,0.037423991155334436,0.0028655163359593908,18090,677,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 3, 0, -1]",-1,-1,0,0,27,6,2,0.037326155226558994,0.0036817769787667945,11145,416,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 1, -1, 0]","[0, 3, 0, -1]",-1,1,0,0,27,6,2,0.040175438596491225,0.0037624098418770277,11400,458,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.01930202498922878,0.001851248144097914,23210,448,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.019230769230769232,0.0028766734794376664,10036,193,0.0
"[0, 7, 0, 0]","[1, 4, 0, 0]","[0, 2, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.018435703203431596,0.0018673323067757083,21914,404,0.0
"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 3, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.015941404566996983,0.0016933212480538147,23210,370,0.0
"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 3, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.020674405749032614,0.0021776053368743054,18090,374,0.0
"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 3, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.017394366197183098,0.002284527641301295,14200,247,0.0
"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 6, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.03355488158998516,0.002952902423565197,15497,520,0.0
"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 6, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.03190150970524802,0.0034301950163198383,11128,355,0.0
"[0, 7, 0, 0]","[1, 5, 0, 0]","[0, 6, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.03209612377582092,0.0032848287882473945,12151,390,0.0
"[0, 7, 0, 0]","[1, 6, 0, 0]","[0, 3, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.031382123503840884,0.002746048414230505,16793,527,0.0
